Date,10YUST,10YGER,GLD,USDJPY,USDCHF,DXY
2010-01-04,3.8410000801086426,3.376,109.80000305175781,92.49500274658203,1.029099941253662,77.52999877929688
2010-01-05,3.755000114440918,3.376,109.69999694824219,91.58499908447266,1.0336999893188477,77.62000274658203
2010-01-06,3.808000087738037,3.382,111.51000213623047,92.35600280761719,1.0276000499725342,77.48999786376953
2010-01-07,3.822000026702881,3.367,110.81999969482422,93.38999938964844,1.0335999727249146,77.91000366210938
2010-01-08,3.808000087738037,3.39,111.37000274658203,92.66000366210938,1.0235999822616577,77.47000122070312
2010-01-11,3.818000078201294,3.35,112.8499984741211,92.09200286865234,1.016700029373169,77.0
2010-01-12,3.7190001010894775,3.31,110.48999786376953,91.08000183105469,1.0188000202178955,76.94999694824219
2010-01-13,3.7829999923706055,3.296,111.54000091552734,91.43299865722656,1.0176000595092773,76.8499984741211
2010-01-14,3.7339999675750732,3.283,112.02999877929688,91.26699829101562,1.0185999870300293,76.7300033569336
2010-01-15,3.6760001182556152,3.268,110.86000061035156,90.75,1.024899959564209,77.31999969482422
2010-01-19,3.7070000171661377,3.285,111.5199966430664,91.1989974975586,1.0326000452041626,77.5
2010-01-20,3.6589999198913574,3.217,108.94000244140625,91.19200134277344,1.0435999631881714,78.33999633789062
2010-01-21,3.6110000610351562,3.243,107.37000274658203,90.39299774169922,1.041599988937378,78.31999969482422
2010-01-22,3.5980000495910645,3.213,107.16999816894531,89.80999755859375,1.0418000221252441,78.27999877929688
2010-01-25,3.630000114440918,3.22,107.4800033569336,90.41500091552734,1.0399999618530273,78.19000244140625
2010-01-26,3.630000114440918,3.205,107.55999755859375,89.62999725341797,1.0458999872207642,78.43000030517578
2010-01-27,3.6440000534057617,3.198,106.52999877929688,89.94999694824219,1.0497000217437744,78.68000030517578
2010-01-28,3.6579999923706055,3.202,106.4800033569336,89.77799987792969,1.051800012588501,78.9000015258789
2010-01-29,3.6089999675750732,3.198,105.95999908447266,90.2699966430664,1.0607999563217163,79.45999908447266
2010-02-01,3.6540000438690186,3.193,108.3499984741211,90.76000213623047,1.056399941444397,79.23999786376953
2010-02-02,3.634999990463257,3.195,109.12999725341797,90.4280014038086,1.0547000169754028,79.01000213623047
2010-02-03,3.703000068664551,3.219,108.69999694824219,90.83999633789062,1.0580999851226807,79.37000274658203
2010-02-04,3.609999895095825,3.163,104.37000274658203,89.41000366210938,1.065600037574768,79.91999816894531
2010-02-05,3.5460000038146973,3.127,104.68000030517578,89.22000122070312,1.0721999406814575,80.44000244140625
2010-02-08,3.5920000076293945,3.141,104.04000091552734,89.22000122070312,1.0728000402450562,80.30000305175781
2010-02-09,3.632999897003174,3.155,105.41000366210938,89.76799774169922,1.0651999711990356,79.86000061035156
2010-02-10,3.694000005722046,3.19,105.12000274658203,89.93000030517578,1.0664000511169434,80.02999877929688
2010-02-11,3.7330000400543213,3.228,107.12999725341797,89.80999755859375,1.0707000494003296,79.98999786376953
2010-02-12,3.693000078201294,3.187,107.04000091552734,89.94999694824219,1.0750999450683594,80.31999969482422
2010-02-16,3.6640000343322754,3.21,109.62000274658203,90.24400329589844,1.0657999515533447,79.69999694824219
2010-02-17,3.742000102996826,3.2,109.25,91.05000305175781,1.0775799751281738,80.37999725341797
2010-02-18,3.802999973297119,3.24,109.9800033569336,91.97699737548828,1.0877000093460083,80.4000015258789
